minuto,jugador,equipo,liga,tipo_intervencion,estadio,arbitro,decision_inicial,decision_final,resultado_correcto
15,Jugador_453,San Lorenzo,Argentina,silent check,Bombonera,Lousteau,gol,roja,1
52,Jugador_359,San Lorenzo,Argentina,on-field review,Bombonera,Rapallini,gol,roja,1
36,Jugador_428,Newcastle,Premier League,silent check,Emirates,Tello,roja,roja,0
31,Jugador_449,Manchester United,Premier League,on-field review,Etihad,Tello,roja,gol,1
5,Jugador_145,Newcastle,Premier League,on-field review,Anfield,Oliver,offside,offside,0
33,Jugador_449,Tottenham,Premier League,silent check,Old Trafford,Pitana,penal,penal,1
39,Jugador_338,Tottenham,Premier League,on-field review,Emirates,Tello,gol,gol,0
91,Jugador_312,Boca,Argentina,on-field review,Bombonera,Atkinson,roja,gol,1
45,Jugador_67,Manchester United,Premier League,silent check,Tottenham Stadium,Atkinson,penal,gol,0
60,Jugador_119,River,Argentina,on-field review,Libertadores de América,Oliver,penal,penal,0
52,Jugador_126,Tottenham,Premier League,silent check,Stamford Bridge,Dean,offside,penal,0
16,Jugador_290,Huracán,Argentina,silent check,Tomás Ducó,Taylor,penal,offside,0
71,Jugador_460,Tottenham,Premier League,silent check,Emirates,Taylor,penal,roja,1
18,Jugador_327,Liverpool,Premier League,silent check,Etihad,Dean,gol,gol,1
83,Jugador_192,River,Argentina,on-field review,Bombonera,Oliver,offside,gol,0
88,Jugador_16,Huracán,Argentina,on-field review,Monumental,Oliver,penal,offside,1
68,Jugador_75,Newells,Argentina,on-field review,Libertadores de América,Atkinson,offside,offside,0
44,Jugador_451,San Lorenzo,Argentina,silent check,Cilindro,Oliver,offside,penal,0
20,Jugador_25,Newells,Argentina,on-field review,Monumental,Pitana,penal,penal,1
17,Jugador_377,Tottenham,Premier League,on-field review,Anfield,Taylor,roja,offside,1
95,Jugador_169,Arsenal,Premier League,on-field review,Tottenham Stadium,Dean,penal,penal,1
37,Jugador_284,Boca,Argentina,silent check,Monumental,Taylor,roja,offside,0
95,Jugador_267,Independiente,Argentina,silent check,Monumental,Pitana,offside,gol,1
10,Jugador_469,Liverpool,Premier League,silent check,Emirates,Tello,offside,penal,0
13,Jugador_467,Newells,Argentina,silent check,Cilindro,Lousteau,gol,roja,0
15,Jugador_446,San Lorenzo,Argentina,on-field review,Tomás Ducó,Lousteau,gol,roja,1
45,Jugador_486,Manchester City,Premier League,on-field review,Anfield,Taylor,penal,roja,1
11,Jugador_190,Rosario Central,Argentina,on-field review,Libertadores de América,Oliver,penal,offside,1
31,Jugador_158,Independiente,Argentina,silent check,Bombonera,Dean,offside,offside,0
45,Jugador_319,San Lorenzo,Argentina,on-field review,Libertadores de América,Rapallini,penal,gol,0
43,Jugador_50,Boca,Argentina,silent check,Libertadores de América,Rapallini,offside,offside,1
46,Jugador_33,Aston Villa,Premier League,silent check,Tottenham Stadium,Taylor,penal,penal,1
41,Jugador_242,Newells,Argentina,on-field review,Tomás Ducó,Atkinson,offside,penal,1
1,Jugador_273,Newells,Argentina,on-field review,Cilindro,Rapallini,penal,roja,0
66,Jugador_124,Racing,Argentina,silent check,Cilindro,Atkinson,roja,gol,0
27,Jugador_66,San Lorenzo,Argentina,silent check,Bombonera,Tello,offside,roja,0
2,Jugador_169,Huracán,Argentina,on-field review,Cilindro,Oliver,roja,offside,1
77,Jugador_84,Manchester United,Premier League,silent check,Etihad,Tello,penal,offside,0
21,Jugador_68,River,Argentina,on-field review,Monumental,Oliver,offside,penal,0
19,Jugador_1,Liverpool,Premier League,silent check,Stamford Bridge,Tello,penal,offside,0
39,Jugador_444,Liverpool,Premier League,on-field review,Old Trafford,Oliver,offside,offside,0
76,Jugador_279,Newells,Argentina,on-field review,Monumental,Oliver,roja,penal,1
16,Jugador_406,Racing,Argentina,silent check,Libertadores de América,Dean,offside,offside,0
11,Jugador_377,Manchester United,Premier League,on-field review,Old Trafford,Rapallini,offside,offside,1
28,Jugador_219,Huracán,Argentina,silent check,Cilindro,Taylor,gol,penal,0
33,Jugador_112,Aston Villa,Premier League,silent check,Etihad,Oliver,penal,penal,1
31,Jugador_153,Rosario Central,Argentina,silent check,Nuevo Gasómetro,Atkinson,roja,offside,0
73,Jugador_380,Arsenal,Premier League,silent check,Emirates,Tello,gol,offside,0
53,Jugador_87,Independiente,Argentina,on-field review,Libertadores de América,Lousteau,offside,penal,1
33,Jugador_288,Liverpool,Premier League,silent check,Etihad,Oliver,offside,offside,1
95,Jugador_254,Rosario Central,Argentina,silent check,Nuevo Gasómetro,Dean,penal,offside,0
89,Jugador_114,Aston Villa,Premier League,on-field review,Emirates,Oliver,offside,offside,0
68,Jugador_468,Chelsea,Premier League,silent check,Stamford Bridge,Pitana,gol,penal,0
70,Jugador_125,Liverpool,Premier League,on-field review,Emirates,Pitana,roja,gol,1
71,Jugador_177,River,Argentina,on-field review,Cilindro,Rapallini,penal,gol,1
7,Jugador_3,Boca,Argentina,silent check,Cilindro,Tello,offside,penal,0
40,Jugador_268,Chelsea,Premier League,silent check,Anfield,Dean,roja,penal,1
16,Jugador_201,Racing,Argentina,on-field review,Libertadores de América,Rapallini,gol,penal,1
37,Jugador_298,Manchester United,Premier League,silent check,Anfield,Lousteau,roja,offside,1
51,Jugador_302,Huracán,Argentina,on-field review,Tomás Ducó,Lousteau,offside,penal,1
56,Jugador_185,Rosario Central,Argentina,silent check,Bombonera,Lousteau,penal,offside,1
89,Jugador_68,Chelsea,Premier League,silent check,Etihad,Lousteau,offside,offside,0
75,Jugador_200,Tottenham,Premier League,on-field review,Stamford Bridge,Rapallini,roja,penal,1
32,Jugador_358,Independiente,Argentina,on-field review,Bombonera,Atkinson,gol,penal,1
41,Jugador_434,Boca,Argentina,silent check,Bombonera,Rapallini,penal,roja,1
67,Jugador_150,Newells,Argentina,silent check,Cilindro,Pitana,roja,penal,0
47,Jugador_233,Chelsea,Premier League,silent check,Stamford Bridge,Dean,penal,offside,0
94,Jugador_88,Arsenal,Premier League,on-field review,Tottenham Stadium,Tello,roja,roja,0
80,Jugador_425,San Lorenzo,Argentina,silent check,Monumental,Tello,penal,penal,1
81,Jugador_329,Racing,Argentina,on-field review,Bombonera,Lousteau,gol,penal,1
46,Jugador_311,Rosario Central,Argentina,silent check,Tomás Ducó,Lousteau,penal,roja,1
62,Jugador_177,Chelsea,Premier League,silent check,Old Trafford,Lousteau,penal,gol,0
7,Jugador_193,Aston Villa,Premier League,on-field review,Stamford Bridge,Rapallini,roja,offside,1
14,Jugador_455,Aston Villa,Premier League,silent check,Stamford Bridge,Pitana,penal,penal,1
79,Jugador_254,Aston Villa,Premier League,silent check,Anfield,Atkinson,penal,roja,1
24,Jugador_141,Racing,Argentina,silent check,Libertadores de América,Rapallini,roja,offside,1
51,Jugador_87,Huracán,Argentina,silent check,Nuevo Gasómetro,Dean,offside,gol,1
41,Jugador_55,Newells,Argentina,silent check,Cilindro,Rapallini,penal,penal,0
55,Jugador_90,Manchester City,Premier League,silent check,Tottenham Stadium,Lousteau,gol,roja,0
2,Jugador_483,Manchester United,Premier League,on-field review,Stamford Bridge,Rapallini,roja,roja,0
75,Jugador_369,Newells,Argentina,silent check,Libertadores de América,Tello,roja,offside,0
92,Jugador_217,Newcastle,Premier League,silent check,Stamford Bridge,Lousteau,gol,offside,0
64,Jugador_433,San Lorenzo,Argentina,on-field review,Monumental,Tello,gol,roja,1
27,Jugador_325,Newells,Argentina,on-field review,Libertadores de América,Taylor,penal,offside,0
91,Jugador_42,Aston Villa,Premier League,silent check,Stamford Bridge,Atkinson,gol,offside,1
25,Jugador_298,Independiente,Argentina,on-field review,Monumental,Rapallini,roja,gol,0
91,Jugador_464,Independiente,Argentina,on-field review,Nuevo Gasómetro,Pitana,penal,penal,0
11,Jugador_406,Racing,Argentina,silent check,Nuevo Gasómetro,Lousteau,gol,offside,1
60,Jugador_462,Racing,Argentina,silent check,Cilindro,Dean,offside,roja,0
5,Jugador_331,San Lorenzo,Argentina,on-field review,Cilindro,Taylor,roja,penal,0
69,Jugador_76,Rosario Central,Argentina,silent check,Monumental,Oliver,gol,offside,1
92,Jugador_324,Aston Villa,Premier League,on-field review,Emirates,Pitana,offside,offside,0
28,Jugador_438,Huracán,Argentina,silent check,Cilindro,Atkinson,roja,gol,1
89,Jugador_362,Arsenal,Premier League,silent check,Anfield,Pitana,offside,roja,0
78,Jugador_166,Tottenham,Premier League,on-field review,Anfield,Lousteau,penal,penal,0
49,Jugador_116,Rosario Central,Argentina,on-field review,Tomás Ducó,Dean,roja,gol,0
91,Jugador_333,Arsenal,Premier League,silent check,Anfield,Atkinson,offside,roja,1
60,Jugador_53,Manchester United,Premier League,on-field review,Tottenham Stadium,Oliver,offside,offside,1
37,Jugador_387,Aston Villa,Premier League,on-field review,Etihad,Taylor,offside,offside,1
4,Jugador_343,Aston Villa,Premier League,on-field review,Old Trafford,Rapallini,gol,gol,0
62,Jugador_13,Chelsea,Premier League,silent check,Tottenham Stadium,Dean,penal,roja,0
41,Jugador_278,Chelsea,Premier League,silent check,Etihad,Rapallini,offside,penal,0
27,Jugador_24,Boca,Argentina,silent check,Libertadores de América,Lousteau,gol,offside,1
19,Jugador_157,Boca,Argentina,silent check,Nuevo Gasómetro,Lousteau,penal,roja,0
72,Jugador_276,Huracán,Argentina,silent check,Tomás Ducó,Dean,gol,penal,0
73,Jugador_180,Rosario Central,Argentina,silent check,Monumental,Pitana,penal,roja,0
54,Jugador_61,Manchester City,Premier League,silent check,Etihad,Lousteau,penal,penal,1
79,Jugador_268,Chelsea,Premier League,silent check,Tottenham Stadium,Tello,penal,gol,1
93,Jugador_83,Aston Villa,Premier League,silent check,Stamford Bridge,Pitana,penal,gol,1
47,Jugador_281,Newells,Argentina,on-field review,Nuevo Gasómetro,Dean,gol,gol,0
12,Jugador_2,San Lorenzo,Argentina,on-field review,Monumental,Pitana,roja,gol,0
94,Jugador_232,Arsenal,Premier League,silent check,Tottenham Stadium,Oliver,roja,penal,1
21,Jugador_244,Liverpool,Premier League,silent check,Stamford Bridge,Tello,penal,penal,1
34,Jugador_170,Racing,Argentina,silent check,Monumental,Oliver,roja,penal,1
20,Jugador_297,Racing,Argentina,on-field review,Libertadores de América,Atkinson,penal,gol,0
38,Jugador_195,Independiente,Argentina,on-field review,Bombonera,Rapallini,penal,gol,1
34,Jugador_88,Chelsea,Premier League,silent check,Tottenham Stadium,Dean,offside,offside,0
9,Jugador_336,Manchester City,Premier League,silent check,Anfield,Atkinson,roja,penal,0
2,Jugador_343,River,Argentina,silent check,Bombonera,Dean,roja,offside,1
79,Jugador_358,Boca,Argentina,silent check,Tomás Ducó,Taylor,gol,roja,0
50,Jugador_488,Boca,Argentina,silent check,Tomás Ducó,Tello,offside,offside,1
83,Jugador_436,Arsenal,Premier League,on-field review,Tottenham Stadium,Dean,gol,penal,1
78,Jugador_329,Racing,Argentina,on-field review,Libertadores de América,Tello,gol,penal,1
26,Jugador_232,Tottenham,Premier League,on-field review,Anfield,Atkinson,gol,roja,1
44,Jugador_25,Racing,Argentina,silent check,Nuevo Gasómetro,Pitana,gol,gol,1
7,Jugador_142,River,Argentina,on-field review,Bombonera,Tello,roja,penal,0
14,Jugador_23,Independiente,Argentina,silent check,Nuevo Gasómetro,Lousteau,offside,gol,1
30,Jugador_412,Chelsea,Premier League,silent check,Emirates,Taylor,penal,offside,0
12,Jugador_447,Tottenham,Premier League,silent check,Stamford Bridge,Rapallini,roja,offside,0
14,Jugador_137,Boca,Argentina,on-field review,Cilindro,Dean,gol,penal,1
95,Jugador_380,Arsenal,Premier League,silent check,Emirates,Rapallini,penal,penal,0
77,Jugador_348,Huracán,Argentina,on-field review,Bombonera,Pitana,penal,penal,0
49,Jugador_390,Manchester City,Premier League,silent check,Tottenham Stadium,Pitana,roja,offside,1
69,Jugador_398,Racing,Argentina,silent check,Nuevo Gasómetro,Taylor,penal,offside,0
82,Jugador_23,River,Argentina,silent check,Nuevo Gasómetro,Rapallini,gol,gol,1
59,Jugador_117,Newells,Argentina,silent check,Monumental,Atkinson,roja,penal,0
82,Jugador_451,Racing,Argentina,on-field review,Bombonera,Rapallini,penal,roja,1
53,Jugador_125,Huracán,Argentina,silent check,Nuevo Gasómetro,Oliver,roja,penal,0
61,Jugador_495,San Lorenzo,Argentina,on-field review,Tomás Ducó,Atkinson,gol,penal,1
55,Jugador_382,Manchester City,Premier League,silent check,Emirates,Tello,roja,gol,0
6,Jugador_228,Rosario Central,Argentina,on-field review,Bombonera,Dean,roja,roja,0
4,Jugador_8,Newells,Argentina,silent check,Bombonera,Atkinson,gol,roja,1
45,Jugador_485,Aston Villa,Premier League,silent check,Old Trafford,Dean,gol,offside,0
20,Jugador_427,Rosario Central,Argentina,silent check,Libertadores de América,Tello,offside,roja,0
23,Jugador_425,Independiente,Argentina,silent check,Nuevo Gasómetro,Lousteau,roja,gol,1
9,Jugador_289,Independiente,Argentina,on-field review,Tomás Ducó,Dean,roja,gol,1
3,Jugador_441,Arsenal,Premier League,silent check,Tottenham Stadium,Pitana,roja,offside,0
43,Jugador_270,Independiente,Argentina,silent check,Bombonera,Tello,roja,roja,1
62,Jugador_459,Rosario Central,Argentina,silent check,Tomás Ducó,Oliver,offside,penal,0
61,Jugador_323,Newcastle,Premier League,on-field review,Anfield,Rapallini,gol,roja,1
44,Jugador_202,Newells,Argentina,silent check,Libertadores de América,Tello,offside,gol,0
2,Jugador_458,Racing,Argentina,on-field review,Cilindro,Rapallini,roja,gol,1
77,Jugador_194,Newcastle,Premier League,on-field review,Anfield,Oliver,penal,roja,1
73,Jugador_357,Manchester City,Premier League,on-field review,Stamford Bridge,Tello,roja,roja,1
26,Jugador_229,Huracán,Argentina,silent check,Monumental,Atkinson,offside,gol,1
41,Jugador_235,Manchester City,Premier League,silent check,Anfield,Atkinson,penal,roja,1
21,Jugador_266,Tottenham,Premier League,on-field review,Emirates,Oliver,gol,penal,1
17,Jugador_300,Liverpool,Premier League,on-field review,Emirates,Pitana,gol,offside,0
90,Jugador_96,San Lorenzo,Argentina,on-field review,Bombonera,Oliver,penal,offside,1
45,Jugador_453,San Lorenzo,Argentina,on-field review,Cilindro,Rapallini,gol,gol,0
45,Jugador_153,Manchester United,Premier League,on-field review,Anfield,Lousteau,penal,gol,0
49,Jugador_386,Manchester United,Premier League,silent check,Stamford Bridge,Lousteau,gol,roja,1
17,Jugador_479,River,Argentina,on-field review,Nuevo Gasómetro,Rapallini,penal,roja,1
67,Jugador_113,Boca,Argentina,on-field review,Tomás Ducó,Dean,offside,offside,0
4,Jugador_220,Newells,Argentina,on-field review,Nuevo Gasómetro,Atkinson,offside,gol,1
33,Jugador_400,Newcastle,Premier League,silent check,Old Trafford,Oliver,penal,offside,1
57,Jugador_430,Manchester United,Premier League,silent check,Stamford Bridge,Oliver,offside,penal,0
6,Jugador_98,Huracán,Argentina,silent check,Tomás Ducó,Rapallini,roja,roja,0
6,Jugador_493,Chelsea,Premier League,on-field review,Emirates,Dean,gol,gol,0
43,Jugador_8,Racing,Argentina,silent check,Nuevo Gasómetro,Lousteau,penal,offside,0
7,Jugador_59,Arsenal,Premier League,on-field review,Old Trafford,Rapallini,offside,gol,0
24,Jugador_424,Boca,Argentina,silent check,Nuevo Gasómetro,Tello,gol,roja,0
8,Jugador_237,Chelsea,Premier League,on-field review,Emirates,Dean,gol,gol,1
31,Jugador_77,Arsenal,Premier League,silent check,Stamford Bridge,Lousteau,gol,penal,1
76,Jugador_270,Huracán,Argentina,on-field review,Cilindro,Oliver,roja,gol,0
14,Jugador_461,Racing,Argentina,on-field review,Tomás Ducó,Pitana,roja,roja,0
18,Jugador_59,Arsenal,Premier League,silent check,Emirates,Tello,penal,gol,1
40,Jugador_356,Newcastle,Premier League,silent check,Anfield,Rapallini,roja,gol,0
47,Jugador_63,River,Argentina,on-field review,Nuevo Gasómetro,Taylor,roja,gol,0
56,Jugador_163,Manchester City,Premier League,on-field review,Anfield,Lousteau,penal,gol,1
13,Jugador_23,San Lorenzo,Argentina,silent check,Cilindro,Rapallini,offside,offside,0
68,Jugador_55,Boca,Argentina,silent check,Bombonera,Pitana,offside,roja,1
13,Jugador_14,Rosario Central,Argentina,silent check,Nuevo Gasómetro,Pitana,roja,gol,1
30,Jugador_173,Liverpool,Premier League,on-field review,Anfield,Dean,offside,roja,0
7,Jugador_189,San Lorenzo,Argentina,on-field review,Libertadores de América,Taylor,penal,penal,0
7,Jugador_129,Liverpool,Premier League,silent check,Stamford Bridge,Taylor,roja,roja,1
41,Jugador_472,Racing,Argentina,silent check,Cilindro,Pitana,offside,offside,0
92,Jugador_94,Rosario Central,Argentina,silent check,Nuevo Gasómetro,Pitana,penal,penal,0
85,Jugador_224,Huracán,Argentina,on-field review,Bombonera,Pitana,gol,penal,1
45,Jugador_113,Huracán,Argentina,on-field review,Monumental,Lousteau,gol,offside,0
5,Jugador_355,Newcastle,Premier League,silent check,Stamford Bridge,Atkinson,offside,roja,1
78,Jugador_56,Racing,Argentina,on-field review,Bombonera,Lousteau,roja,penal,1
38,Jugador_467,Boca,Argentina,silent check,Cilindro,Oliver,offside,roja,1
54,Jugador_46,Independiente,Argentina,on-field review,Bombonera,Atkinson,gol,penal,0
49,Jugador_23,Chelsea,Premier League,silent check,Stamford Bridge,Oliver,gol,offside,1
22,Jugador_42,Aston Villa,Premier League,silent check,Old Trafford,Pitana,offside,gol,0
86,Jugador_494,San Lorenzo,Argentina,silent check,Monumental,Lousteau,roja,offside,1
55,Jugador_277,Independiente,Argentina,on-field review,Bombonera,Tello,penal,roja,1
75,Jugador_186,Huracán,Argentina,silent check,Nuevo Gasómetro,Tello,roja,penal,1
37,Jugador_186,Rosario Central,Argentina,on-field review,Nuevo Gasómetro,Lousteau,penal,gol,0
39,Jugador_457,Arsenal,Premier League,on-field review,Tottenham Stadium,Lousteau,roja,offside,1
74,Jugador_316,Aston Villa,Premier League,on-field review,Etihad,Tello,gol,gol,1
2,Jugador_375,Racing,Argentina,on-field review,Nuevo Gasómetro,Dean,penal,offside,0
80,Jugador_246,Huracán,Argentina,on-field review,Libertadores de América,Taylor,roja,gol,0
26,Jugador_125,River,Argentina,on-field review,Cilindro,Taylor,gol,gol,0
78,Jugador_378,Boca,Argentina,silent check,Tomás Ducó,Oliver,gol,gol,0
6,Jugador_85,Independiente,Argentina,silent check,Tomás Ducó,Atkinson,gol,gol,0
32,Jugador_337,Manchester City,Premier League,on-field review,Anfield,Tello,gol,offside,1
80,Jugador_204,Chelsea,Premier League,silent check,Stamford Bridge,Oliver,penal,roja,0
65,Jugador_190,Newcastle,Premier League,silent check,Emirates,Rapallini,penal,roja,0
64,Jugador_131,San Lorenzo,Argentina,on-field review,Monumental,Atkinson,penal,roja,1
19,Jugador_441,San Lorenzo,Argentina,on-field review,Tomás Ducó,Tello,offside,penal,1
81,Jugador_289,River,Argentina,on-field review,Cilindro,Pitana,roja,penal,1
28,Jugador_56,Rosario Central,Argentina,on-field review,Nuevo Gasómetro,Dean,penal,penal,1
84,Jugador_47,Aston Villa,Premier League,on-field review,Anfield,Tello,roja,gol,1
45,Jugador_346,Huracán,Argentina,silent check,Monumental,Lousteau,gol,gol,1
76,Jugador_152,Huracán,Argentina,silent check,Monumental,Oliver,gol,offside,1
61,Jugador_364,Racing,Argentina,silent check,Tomás Ducó,Rapallini,roja,roja,1
57,Jugador_307,Newcastle,Premier League,silent check,Old Trafford,Dean,offside,gol,0
57,Jugador_371,San Lorenzo,Argentina,silent check,Cilindro,Dean,penal,penal,1
17,Jugador_408,Racing,Argentina,silent check,Nuevo Gasómetro,Atkinson,gol,roja,0
85,Jugador_368,Arsenal,Premier League,on-field review,Emirates,Dean,offside,gol,1
25,Jugador_361,River,Argentina,on-field review,Cilindro,Tello,penal,gol,1
72,Jugador_468,Boca,Argentina,on-field review,Tomás Ducó,Lousteau,roja,roja,1
23,Jugador_90,Manchester City,Premier League,on-field review,Stamford Bridge,Tello,penal,penal,0
61,Jugador_380,Newells,Argentina,silent check,Bombonera,Atkinson,roja,roja,0
65,Jugador_1,Manchester United,Premier League,silent check,Anfield,Lousteau,penal,gol,0
31,Jugador_92,Newells,Argentina,silent check,Tomás Ducó,Oliver,roja,gol,1
71,Jugador_118,Arsenal,Premier League,on-field review,Old Trafford,Lousteau,roja,penal,1
94,Jugador_230,Manchester City,Premier League,on-field review,Emirates,Pitana,penal,roja,0
67,Jugador_299,Tottenham,Premier League,on-field review,Old Trafford,Dean,penal,penal,0
21,Jugador_403,Boca,Argentina,on-field review,Tomás Ducó,Pitana,roja,penal,0
41,Jugador_263,Racing,Argentina,silent check,Bombonera,Rapallini,offside,gol,0
85,Jugador_143,Boca,Argentina,on-field review,Nuevo Gasómetro,Pitana,roja,offside,1
30,Jugador_437,San Lorenzo,Argentina,silent check,Monumental,Tello,gol,gol,0
62,Jugador_435,Aston Villa,Premier League,silent check,Anfield,Pitana,offside,roja,1
50,Jugador_22,Newells,Argentina,silent check,Cilindro,Pitana,penal,roja,1
47,Jugador_263,Newells,Argentina,on-field review,Monumental,Oliver,offside,gol,0
17,Jugador_47,Boca,Argentina,on-field review,Cilindro,Tello,offside,roja,0
7,Jugador_191,Huracán,Argentina,silent check,Nuevo Gasómetro,Lousteau,offside,roja,0
55,Jugador_499,Boca,Argentina,on-field review,Nuevo Gasómetro,Oliver,penal,roja,0
52,Jugador_434,Newcastle,Premier League,silent check,Emirates,Taylor,roja,offside,0
25,Jugador_473,Manchester United,Premier League,silent check,Old Trafford,Taylor,penal,roja,0
41,Jugador_338,Newells,Argentina,silent check,Libertadores de América,Atkinson,offside,gol,1
37,Jugador_255,Manchester City,Premier League,on-field review,Stamford Bridge,Rapallini,offside,offside,0
66,Jugador_398,Newcastle,Premier League,silent check,Etihad,Lousteau,offside,offside,0
21,Jugador_84,Liverpool,Premier League,silent check,Etihad,Pitana,roja,roja,0
85,Jugador_149,Racing,Argentina,silent check,Tomás Ducó,Lousteau,offside,offside,0
80,Jugador_283,Aston Villa,Premier League,on-field review,Stamford Bridge,Lousteau,penal,penal,1
76,Jugador_5,Liverpool,Premier League,on-field review,Emirates,Atkinson,penal,roja,0
80,Jugador_256,Newcastle,Premier League,silent check,Tottenham Stadium,Pitana,penal,roja,0
69,Jugador_362,Aston Villa,Premier League,silent check,Emirates,Tello,gol,roja,0
63,Jugador_62,Huracán,Argentina,silent check,Bombonera,Oliver,penal,gol,0
59,Jugador_14,Tottenham,Premier League,silent check,Etihad,Tello,offside,roja,1
37,Jugador_185,San Lorenzo,Argentina,silent check,Libertadores de América,Taylor,penal,gol,1
65,Jugador_314,Independiente,Argentina,silent check,Cilindro,Atkinson,offside,roja,1
95,Jugador_479,Newcastle,Premier League,on-field review,Anfield,Taylor,offside,roja,0
12,Jugador_476,Racing,Argentina,silent check,Tomás Ducó,Dean,roja,offside,0
1,Jugador_413,Chelsea,Premier League,silent check,Etihad,Tello,offside,penal,1
37,Jugador_466,Manchester United,Premier League,silent check,Emirates,Rapallini,roja,gol,0
79,Jugador_443,San Lorenzo,Argentina,silent check,Bombonera,Oliver,roja,roja,0
67,Jugador_439,Chelsea,Premier League,silent check,Stamford Bridge,Pitana,penal,offside,1
93,Jugador_343,Newells,Argentina,on-field review,Tomás Ducó,Tello,offside,offside,1
53,Jugador_156,Boca,Argentina,on-field review,Monumental,Atkinson,gol,penal,1
35,Jugador_275,Chelsea,Premier League,silent check,Anfield,Tello,gol,roja,0
77,Jugador_342,Chelsea,Premier League,silent check,Emirates,Tello,gol,offside,0
66,Jugador_150,Newcastle,Premier League,silent check,Stamford Bridge,Tello,roja,gol,0
10,Jugador_68,Aston Villa,Premier League,silent check,Old Trafford,Oliver,penal,roja,0
15,Jugador_478,San Lorenzo,Argentina,on-field review,Cilindro,Oliver,roja,gol,0
2,Jugador_294,Chelsea,Premier League,on-field review,Anfield,Taylor,penal,penal,1
92,Jugador_186,Independiente,Argentina,silent check,Bombonera,Rapallini,roja,gol,0
6,Jugador_404,Manchester City,Premier League,on-field review,Anfield,Pitana,roja,offside,0
89,Jugador_291,River,Argentina,silent check,Bombonera,Tello,penal,gol,0
70,Jugador_157,Racing,Argentina,silent check,Cilindro,Tello,penal,offside,0
4,Jugador_56,Racing,Argentina,on-field review,Monumental,Lousteau,roja,gol,1
11,Jugador_427,Tottenham,Premier League,on-field review,Old Trafford,Lousteau,roja,roja,0
94,Jugador_185,Arsenal,Premier League,on-field review,Anfield,Taylor,gol,gol,0
63,Jugador_112,Chelsea,Premier League,on-field review,Emirates,Dean,roja,roja,1
57,Jugador_376,Tottenham,Premier League,on-field review,Stamford Bridge,Lousteau,offside,gol,1
5,Jugador_450,Manchester United,Premier League,silent check,Etihad,Pitana,penal,gol,1
26,Jugador_43,San Lorenzo,Argentina,silent check,Cilindro,Lousteau,offside,penal,0
3,Jugador_285,Boca,Argentina,silent check,Tomás Ducó,Taylor,roja,roja,0
93,Jugador_168,Chelsea,Premier League,on-field review,Old Trafford,Oliver,gol,roja,1
29,Jugador_476,San Lorenzo,Argentina,on-field review,Tomás Ducó,Atkinson,roja,gol,0
80,Jugador_14,Arsenal,Premier League,on-field review,Tottenham Stadium,Atkinson,roja,roja,0
35,Jugador_433,Racing,Argentina,silent check,Monumental,Pitana,penal,penal,1
37,Jugador_214,Newells,Argentina,on-field review,Cilindro,Oliver,gol,roja,1
27,Jugador_333,Manchester United,Premier League,silent check,Stamford Bridge,Lousteau,penal,roja,0
19,Jugador_158,Manchester United,Premier League,on-field review,Old Trafford,Atkinson,gol,gol,1
71,Jugador_280,Newcastle,Premier League,on-field review,Emirates,Lousteau,offside,gol,0
65,Jugador_270,River,Argentina,silent check,Tomás Ducó,Pitana,roja,offside,0
2,Jugador_350,Manchester United,Premier League,on-field review,Etihad,Tello,offside,roja,0
48,Jugador_374,Newells,Argentina,silent check,Cilindro,Pitana,roja,offside,1
95,Jugador_111,Racing,Argentina,silent check,Libertadores de América,Tello,gol,penal,1
41,Jugador_104,Chelsea,Premier League,silent check,Etihad,Rapallini,offside,penal,0
78,Jugador_493,San Lorenzo,Argentina,on-field review,Libertadores de América,Pitana,gol,penal,0
69,Jugador_411,San Lorenzo,Argentina,on-field review,Nuevo Gasómetro,Atkinson,roja,roja,1
61,Jugador_287,Boca,Argentina,silent check,Monumental,Rapallini,offside,penal,0
47,Jugador_210,Newells,Argentina,on-field review,Libertadores de América,Atkinson,penal,roja,1
60,Jugador_115,Boca,Argentina,on-field review,Cilindro,Tello,gol,offside,0
26,Jugador_67,Arsenal,Premier League,on-field review,Stamford Bridge,Tello,offside,roja,1
45,Jugador_321,Racing,Argentina,on-field review,Monumental,Lousteau,offside,offside,0
45,Jugador_364,Boca,Argentina,on-field review,Tomás Ducó,Lousteau,penal,roja,0
51,Jugador_417,Chelsea,Premier League,silent check,Tottenham Stadium,Taylor,offside,gol,1
64,Jugador_28,Arsenal,Premier League,on-field review,Emirates,Lousteau,offside,gol,0
83,Jugador_362,Liverpool,Premier League,on-field review,Stamford Bridge,Atkinson,gol,roja,1
15,Jugador_56,Rosario Central,Argentina,on-field review,Monumental,Dean,penal,gol,0
86,Jugador_181,Racing,Argentina,on-field review,Bombonera,Pitana,penal,offside,1
73,Jugador_348,Aston Villa,Premier League,on-field review,Stamford Bridge,Taylor,roja,roja,0
56,Jugador_437,Newells,Argentina,silent check,Bombonera,Dean,penal,gol,0
31,Jugador_109,Manchester City,Premier League,on-field review,Emirates,Tello,roja,gol,1
65,Jugador_190,Liverpool,Premier League,silent check,Stamford Bridge,Taylor,roja,offside,0
81,Jugador_364,Liverpool,Premier League,silent check,Emirates,Dean,offside,penal,0
70,Jugador_358,Liverpool,Premier League,silent check,Etihad,Tello,offside,offside,0
